latitude,longitude,population,land_use,dist_river_m,dist_road_m
2.6499999999999986,101.73399999999916,0.8137376,7.0,16.699105594094338,169.54548302650497
2.6499999999999986,101.73899999999915,1.1218153,8.0,28.516176670394792,172.13178491210897
2.6499999999999986,101.74399999999915,2.682836,1.0,2.2973581958748492,30.141568267431026
2.6549999999999985,101.5689999999993,6.7161756,1.0,96.78524180192879,31.777234215061103
2.6549999999999985,101.5739999999993,5.104856,8.0,456.5937043971506,56.18808175085645
2.6549999999999985,101.5789999999993,3.5930266,8.0,1013.2885058152862,17.86804206793015
2.6549999999999985,101.58399999999929,1.796517,8.0,1570.038367578952,191.63698422887572
2.6549999999999985,101.58899999999929,1.4798487,8.0,2126.788389288311,215.4457370687444
2.6549999999999985,101.59399999999928,1.7153494,8.0,2384.7503056464343,104.22665690725815
2.6549999999999985,101.59899999999928,1.0413208,1.0,1957.590132836081,162.86568315712424
2.6549999999999985,101.60399999999927,0.57134145,1.0,1611.6068684651439,60.631929405742355
2.6549999999999985,101.60899999999927,0.41581932,1.0,1407.9691185362753,56.60569531438613
2.6549999999999985,101.61399999999927,0.5161798,1.0,1016.1952918428119,60.81363593772809
2.6549999999999985,101.61899999999926,0.8907296,1.0,629.7227178285309,65.01929617431851
2.6549999999999985,101.62399999999926,0.6537544,1.0,616.7699329907197,289.78298024376966
2.6549999999999985,101.62899999999925,0.43649715,1.0,992.071868543089,846.165826285289
2.6549999999999985,101.63399999999925,0.78643984,1.0,1485.9156844681258,1402.7708675043825
2.6549999999999985,101.63899999999924,0.7946503,1.0,1701.2175487616184,1597.2533719326673
2.6549999999999985,101.64399999999924,0.49828655,1.0,1905.1028073977482,1500.0219623697913
2.6549999999999985,101.64899999999923,0.6112452,1.0,2232.625092316698,1113.2987940402604
2.6549999999999985,101.65399999999923,0.86167127,7.0,2638.129241206431,656.0701436052988
2.6549999999999985,101.65899999999922,1.2515422,1.0,2814.097362271082,301.0837736770218
2.6549999999999985,101.66399999999922,1.3181281,1.0,2380.2591177048466,379.20961238433705
2.6549999999999985,101.66899999999922,2.992129,7.0,1889.2410985506879,6.695503042314646
2.6549999999999985,101.67399999999921,3.0639343,1.0,1382.67674723838,17.143471444656853
2.6549999999999985,101.6789999999992,1.4030048,1.0,935.013521109489,21.14959755484186
2.6549999999999985,101.6839999999992,0.7601129,1.0,472.8740433885959,451.8522199051395
2.6549999999999985,101.6889999999992,0.7345658,8.0,30.55841417716181,537.3610808291575
