population,land_use,dist_river_m,dist_road_m,lon,lat,landuse_score,population_norm,dist_river_norm,dist_road_norm,mcda_score,suitable
0.038196754,8.0,325.3799972151563,508.83097550881183,101.74777331856608,3.6006616631796877,0.1,0.0014120455407348187,0.03705074665716306,0.04928121226575152,0.03646568238955641,0
69.300964,3.0,183.7682149714441,1.21365715567111,101.76214836911689,3.1990087477566247,0.2,0.000720389237718333,0.020916979009791652,0.00011717281210444456,0.0365506644985598,0
13.97917,6.0,921.2481173022334,11.18668207850815,101.4726794726454,3.08623892535031,1.0,0.0012728313221990195,0.1049377377368743,0.0010830858592977295,0.18214342945569148,1
0.056698043,8.0,638.5390209280175,1249.127660238646,101.73567222327958,3.680352221351082,0.1,0.0014118607873144784,0.07272881556647029,0.12098084523639348,0.06150896499277985,0
0.7371808,1.0,722.0855941582561,327.0855207160425,101.56760016446052,2.792965307010168,0.8,0.0014050655031137005,0.08224723966137372,0.03167869874446031,0.15150168457339397,1
75.79541,8.0,653.4477066492881,20.66976401160537,101.65354356580788,3.252712966672356,0.1,0.0006555358584916515,0.07442735552934364,0.002001546671102841,0.03795795354349574,0
10.323007,6.0,1269.8511683679203,10.818869428667451,101.54545959191432,3.419382190703615,1.0,0.0013093416766701838,0.14465392898838486,0.001047462260625041,0.19406394073547503,1
0.048408944,8.0,531.1947591393689,1254.8425626508215,101.64474084918264,3.599988290235117,0.1,0.0014119435620547627,0.06049913135138046,0.1215343481952316,0.057950789291179625,0
0.07155616,8.0,6184.525576951709,5208.00023235537,101.32126406270372,3.472138652716572,0.1,0.0014117124145208715,0.7045806082113915,0.5044078093891496,0.32774984368632964,1
0.95677346,5.0,1457.2374886576315,90.80828987723768,101.7304987021948,2.770510851107065,0.2,0.001402872656171228,0.1660027694870317,0.0087946428248469,0.08205076484073881,0
0.25809437,8.0,419.1676001652537,505.1930483194828,101.62674371227722,3.342162020280392,0.1,0.0014098496485092094,0.047735926733469755,0.048928869685230574,0.039599999334065265,0
39.929245,5.0,56.89258208985041,51.854089391567605,101.51628562069271,3.0683902522810187,0.2,0.0010136945066896441,0.0064620943342920106,0.005021828580100371,0.03329778709364905,0
0.6088197,1.0,776.5352883930119,52.75225352472534,101.34135154121935,3.2899670461785795,0.8,0.0014063473139249716,0.08845066921600017,0.005108818080422538,0.1480491859407583,1
0.4154327,1.0,59.04038188100234,448.2599556675461,101.47487151356276,3.695792287425042,0.8,0.0014082784717863728,0.00670679221348318,0.04341475361362188,0.13118788585189456,1
0.9539144,8.0,1326.058756061304,479.5785329861496,101.61437219071608,2.8440164081019312,0.1,0.0014029012066745228,0.15105763456638288,0.04644803816726814,0.07009791342570457,0
23.043999,8.0,400.2535346565506,15.081076515561806,101.75673755997356,3.0994461730482463,0.1,0.0011823101610772824,0.045581055624938624,0.0014602679506663522,0.029380178833991903,0
0.6864091,1.0,295.2910196750626,212.67397162443163,101.19927426599548,3.3915431517330146,0.8,0.0014055725080704962,0.033622722768985466,0.020597646719399842,0.1346982965524003,1
1.3745538,1.0,1023.4723826852444,110.3927172779664,101.39141351512376,3.209480733214614,0.8,0.0013987007118939632,0.11658410302853041,0.010691444857784387,0.15760306512927888,1
60.383858,3.0,336.2776006521993,42.49923151368337,101.59129853842812,3.01378598145248,0.2,0.0008094352405680905,0.038292305791443736,0.004115786596970865,0.042594151391026125,0
0.039886586,8.0,5902.671474555417,5766.8055815320895,101.28749325207475,3.602002600079342,0.1,0.0014120286661137849,0.6724690951263134,0.5585295409387432,0.3289408467587825,1
0.83215094,1.0,337.1176364826351,40.99781595743613,101.33826873106294,3.1915322298060174,0.8,0.0014041171336138802,0.03838801070164954,0.0039703706488248515,0.13280191833702468,1
62.70037,7.0,704.7609138774193,3.8773333416590128,101.7965430961894,3.054566049503741,0.1,0.0007863026082820523,0.08027344650809655,0.0003751566837432463,0.03943227120207633,0
0.029281598,8.0,7162.839912405793,9426.957980747482,101.24490448061356,3.5735787430785844,0.1,0.0014121345672650776,0.8160395272661977,0.9130246900506572,0.44291104328853353,1
0.3603978,8.0,353.36316712217626,767.9136103094532,101.87344294540956,3.185933484398279,0.1,0.0014088280489543692,0.040238856814125805,0.07437403006089277,0.04243955287355032,0
0.07398669,8.0,1674.6907491630789,103.53097064969016,101.89780373060634,3.0442656291337493,0.1,0.00141168814330761,0.19077712317124984,0.010026867094661631,0.07473260122046493,0
0.45233467,8.0,9.231197269294553,10.782625274821802,101.5012273112444,3.377977243022935,0.1,0.0014079099696148178,0.0010320538654598663,0.0010439519213493586,0.01601117503327302,0
12.929625,8.0,555.6976871849523,23.205184074307315,101.44528652085816,3.2474273915284213,0.1,0.0012833120529496256,0.06329073909407064,0.002247108608190907,0.03488580266839174,0
0.7181154,8.0,265.4394739156588,460.857609473282,101.26439153151136,3.032894629218227,0.1,0.001405255889732726,0.03022174937845051,0.04463486870098326,0.033485338115138256,0
0.7984407,8.0,1928.4473251114773,230.515555726742,101.58592106258364,2.9218209155966,0.1,0.001404453763247604,0.21968749750929895,0.022325649908036763,0.0858629380515337,0
0.080168046,8.0,203.79214096113537,180.07014888632847,101.52520898380573,3.544073944362208,0.1,0.0014116264164374392,0.023198296031491553,0.017439882849884493,0.025941534625177468,0
8.2668295,8.0,580.685652377291,129.58952246397152,101.49995339655214,3.099961904377438,0.1,0.0013298746149940088,0.06613760690412321,0.012550704684873565,0.03781687912345958,0
0.81861466,1.0,997.4068543621108,39.26141368851376,101.19447541675976,3.372624162490532,0.8,0.001404252306575482,0.1136144689281158,0.0038021956347538935,0.15533626811268691,1
1.0463325,7.0,1735.5534231537044,9.434994162888133,100.83398689074464,3.809759353847133,0.1,0.0014019783217839032,0.19771118066988758,0.0009134303911324231,0.07498673269181712,0
31.534513,8.0,966.7912085333408,77.80847016609103,101.38645583704188,2.960940137488401,0.1,0.0010975240955264365,0.11012644195501044,0.007535576937885796,0.049929181407514546,0
0.039820585,8.0,991.886825980586,1651.8081738548349,101.75633560593064,3.646181093700565,0.1,0.0014120293251981275,0.11298557453879762,0.15998148596092537,0.08138617981764369,0
1.5721483,1.0,584.2656640626724,23.24848019545057,101.3664289533624,3.260759327542593,0.8,0.00139672753804021,0.06654547605026116,0.0022513019485895023,0.14090275784311032,1
0.07096279,8.0,156.97149495754326,2023.1495989828168,101.58196324542207,3.5097109986296835,0.1,0.0014117183398991706,0.017864040563809063,0.1959468555724184,0.06004268470259111,0
1.6230326,7.0,414.3650480341668,5.992880381673815,101.69083583031006,2.732606673211118,0.1,0.0013962194086625246,0.047188774095675845,0.0005800528414999776,0.029761319590034634,0
0.20413797,8.0,589.255170928621,633.4590455536174,101.1105734898949,3.5992516359328506,0.1,0.001410388455802547,0.06711392835821701,0.061351760553176406,0.047898166577631275,0
